"id","kind","file","line","owner","mysql_pattern_category","postgres_target_design","source_snippet","test_status"
"S1-SQL-001","execute_call","scripts/backfill-grade-index.mjs","18","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await conn.execute('DELETE FROM snkrdunkGradeIndex');","not_started"
"S1-SQL-002","execute_call","scripts/backfill-grade-index.mjs","88","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [countRows] = await conn.execute('SELECT COUNT(*) as cnt FROM snkrdunkGradeIndex');","not_started"
"S1-SQL-003","execute_call","scripts/backfill-grade-index.mjs","92","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [gradeRows] = await conn.execute(","not_started"
"S1-SQL-004","execute_call","scripts/check_setname.mjs","10","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [result] = await db.execute(sql`","not_started"
"S1-SQL-005","sql_tag","scripts/check_setname.mjs","10","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [result] = await db.execute(sql`","not_started"
"S1-SQL-006","execute_call","scripts/check_setname.mjs","20","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [samples] = await db.execute(sql`","not_started"
"S1-SQL-007","sql_tag","scripts/check_setname.mjs","20","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [samples] = await db.execute(sql`","not_started"
"S1-SQL-008","execute_call","scripts/check_setname.mjs","27","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [withSetName] = await db.execute(sql`","not_started"
"S1-SQL-009","sql_tag","scripts/check_setname.mjs","27","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [withSetName] = await db.execute(sql`","not_started"
"S1-SQL-010","execute_call","scripts/fill_setname_series.mjs","10","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [r1] = await conn.execute(`","not_started"
"S1-SQL-011","execute_call","scripts/fill_setname_series.mjs","22","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [r2] = await conn.execute(`","not_started"
"S1-SQL-012","execute_call","scripts/fill_setname_series.mjs","32","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [stats] = await conn.execute(`","not_started"
"S1-SQL-013","execute_call","scripts/fill_setname_series.mjs","42","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [setNames] = await conn.execute(`","not_started"
"S1-SQL-014","execute_call","scripts/fill_setname_series.mjs","51","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [seriesVals] = await conn.execute(`","not_started"
"S1-SQL-015","execute_call","scripts/githubActionsBatchUpdate.mjs","243","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await db.execute(","not_started"
"S1-SQL-016","execute_call","scripts/githubActionsBatchUpdate.mjs","251","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [histRows] = await db.execute(","not_started"
"S1-SQL-017","execute_call","scripts/githubActionsBatchUpdate.mjs","300","TCG catalog","upsert","Replace with explicit ON CONFLICT target after unique-index review","await db.execute(","not_started"
"S1-SQL-018","execute_call","scripts/githubActionsBatchUpdate.mjs","309","TCG catalog","upsert","Replace with explicit ON CONFLICT target after unique-index review","await db.execute(","not_started"
"S1-SQL-019","execute_call","scripts/githubActionsBatchUpdate.mjs","326","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(","not_started"
"S1-SQL-020","execute_call","scripts/githubActionsEbayBatchUpdate.mjs","272","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await db.execute(","not_started"
"S1-SQL-021","execute_call","scripts/githubActionsEbayBatchUpdate.mjs","318","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [tier1Rows] = await db.execute(","not_started"
"S1-SQL-022","execute_call","scripts/githubActionsEbayBatchUpdate.mjs","338","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await db.execute(","not_started"
"S1-SQL-023","execute_call","scripts/githubActionsEbayBatchUpdate.mjs","363","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await db.execute(","not_started"
"S1-SQL-024","execute_call","scripts/githubActionsListingsBatchUpdate.mjs","168","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await db.execute(","not_started"
"S1-SQL-025","execute_call","scripts/githubActionsListingsBatchUpdate.mjs","211","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(","not_started"
"S1-SQL-026","execute_call","scripts/githubActionsListingsBatchUpdate.mjs","215","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(","not_started"
"S1-SQL-027","execute_call","scripts/githubActionsPsaScraper.mjs","153","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await pool.execute(","not_started"
"S1-SQL-028","execute_call","scripts/githubActionsPsaScraper.mjs","218","TCG catalog","raw_update","Review RETURNING and affected-row behavior","await pool.execute('UPDATE cards SET psaScrapedAt = NOW() WHERE id = ?', [cardId]);","not_started"
"S1-SQL-029","execute_call","scripts/psaPlaywrightMatcher.mjs","245","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await conn.execute(","not_started"
"S1-SQL-030","execute_call","scripts/psaPlaywrightMatcher.mjs","259","TCG catalog","raw_select","Review casts, joins, order and pagination semantics","await conn.execute(","not_started"
"S1-SQL-031","execute_call","scripts/psaPlaywrightMatcher.mjs","266","TCG catalog","raw_select","Review casts, joins, order and pagination semantics","await conn.execute(","not_started"
"S1-SQL-032","execute_call","scripts/psaPlaywrightMatcher.mjs","273","TCG catalog","raw_select","Review casts, joins, order and pagination semantics","const [rows] = await conn.execute(","not_started"
"S1-SQL-033","execute_call","scripts/psaSpecMatcher.mjs","537","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await conn.execute(query, params);","not_started"
"S1-SQL-034","execute_call","scripts/psaSpecMatcher.mjs","542","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await conn.execute(","not_started"
"S1-SQL-035","execute_call","scripts/psaSpecMatcher.mjs","549","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await conn.execute(","not_started"
"S1-SQL-036","execute_call","scripts/tcgdexImport.mjs","107","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [result] = await db.execute(sql, values);","not_started"
"S1-SQL-037","execute_call","scripts/tcgdexImport.mjs","162","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [existingRows] = await db.execute(","not_started"
"S1-SQL-038","execute_call","scripts/tcgdexPriceSync.mjs","80","TCG catalog","upsert","Replace with explicit ON CONFLICT target after unique-index review","await conn.execute(","not_started"
"S1-SQL-039","execute_call","scripts/tcgdexPriceSync.mjs","127","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await readConn.execute(","not_started"
"S1-SQL-040","execute_call","server/_core/index.ts","570","Identity & user experience","upsert","Replace with explicit ON CONFLICT target after unique-index review","await _db.execute(_ptSql`","not_started"
